epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5342,1.63579,3.2853,3.26484,0.10674,0.90867,0.66357,0.79784,0.37203,1.24271,2.29854,3.18134,0.10958,0.00010002,0.00010002,0.00010002
2,46.7021,1.14876,2.1423,2.71497,0.08244,1,0.99447,0.995,0.67951,0.91136,1.60449,3.11012,0.15832,0.000212419,0.000212419,0.000212419
3,60.8315,1.11345,1.92306,2.49022,0.08644,0.81813,0.93333,0.89489,0.59648,0.84132,1.41453,2.77911,0.08688,0.000320197,0.000320197,0.000320197
4,75.6325,1.1501,1.669,2.35926,0.10753,0.98241,1,0.995,0.82144,0.7684,1.21504,2.33147,0.06512,0.000423355,0.000423355,0.000423355
5,90.7783,1.05897,1.3085,2.03466,0.12707,1,0.98852,0.995,0.82225,0.74371,1.27957,2.2286,0.08235,0.000521891,0.000521891,0.000521891
6,105.399,1.09253,1.42594,2.12837,0.07998,0.99126,1,0.995,0.78385,0.77471,1.29305,2.16616,0.06001,0.000615806,0.000615806,0.000615806
7,119.219,1.22445,1.45299,2.04731,0.21246,0.9946,1,0.995,0.80369,0.74577,1.15189,2.05621,0.08614,0.000705101,0.000705101,0.000705101
8,133.61,1.06217,1.15428,2.0524,0.10142,0.98976,1,0.995,0.81155,0.7563,1.18549,2.08509,0.07815,0.000789775,0.000789775,0.000789775
9,147.308,0.96004,1.08669,1.88225,0.07509,0.99276,1,0.995,0.7415,0.83185,1.25484,2.10792,0.0708,0.000869827,0.000869827,0.000869827
10,161.555,0.9957,1.04909,1.90911,0.0556,0.98834,1,0.995,0.78907,0.78254,1.03515,1.99865,0.04832,0.000945259,0.000945259,0.000945259
11,175.381,0.99847,1.03891,1.90212,0.06819,0.9934,1,0.995,0.83863,0.7164,0.95493,1.80676,0.0457,0.00101607,0.00101607,0.00101607
12,189.355,1.18077,1.18059,1.91791,0.08777,0.99373,1,0.995,0.82586,0.72007,0.92058,1.81669,0.04947,0.00108226,0.00108226,0.00108226
13,202.937,0.94458,1.08309,1.7609,0.06181,0.99461,1,0.995,0.79522,0.74582,0.95232,1.78403,0.09724,0.00114383,0.00114383,0.00114383
14,216.471,0.97463,1.01813,1.896,0.06119,0.99461,1,0.995,0.79522,0.74582,0.95232,1.78403,0.09724,0.00120078,0.00120078,0.00120078
15,230.869,0.92375,1.00017,1.68662,0.07324,0.99274,1,0.995,0.83753,0.72295,0.92765,1.76862,0.11034,0.00120491,0.00120491,0.00120491
16,244.367,0.97621,0.89027,1.69853,0.10398,0.99149,1,0.995,0.83687,0.67985,0.88742,1.74353,0.08184,0.0011719,0.0011719,0.0011719
17,257.749,0.93983,1.08417,1.84427,0.10607,0.99244,1,0.995,0.85816,0.68727,0.80832,1.71377,0.07484,0.00113889,0.00113889,0.00113889
18,271.272,0.89773,0.9409,1.63787,0.06065,0.99377,1,0.995,0.82734,0.70272,0.86395,1.67702,0.07221,0.00110589,0.00110589,0.00110589
19,285.576,1.06896,0.9114,1.74552,0.14191,0.99324,1,0.995,0.8618,0.69241,0.79714,1.57531,0.11275,0.00107288,0.00107288,0.00107288
20,298.921,0.91463,0.89879,1.57929,0.08664,0.99418,1,0.995,0.85126,0.68431,0.76698,1.52059,0.10904,0.00103987,0.00103987,0.00103987
21,312.907,0.97861,0.92176,1.74724,0.12492,0.99524,1,0.995,0.862,0.69508,0.76122,1.50343,0.10305,0.00100687,0.00100687,0.00100687
22,326.443,0.97417,0.88238,1.68645,0.06769,0.99524,1,0.995,0.862,0.69508,0.76122,1.50343,0.10305,0.000973861,0.000973861,0.000973861
23,340.396,0.91238,0.83709,1.60661,0.06542,0.99474,1,0.995,0.84358,0.70309,0.73558,1.47964,0.06036,0.000940855,0.000940855,0.000940855
24,354.119,0.85167,0.83127,1.53624,0.06348,0.99381,1,0.995,0.8156,0.7043,0.71375,1.45226,0.05808,0.000907848,0.000907848,0.000907848
25,368.036,0.88889,0.81481,1.59012,0.07973,0.99397,1,0.995,0.85879,0.65218,0.65826,1.37976,0.05438,0.000874842,0.000874842,0.000874842
26,381.531,0.97311,0.916,1.62296,0.0728,0.99482,1,0.995,0.86616,0.61939,0.6379,1.30236,0.03963,0.000841835,0.000841835,0.000841835
27,395.882,0.85798,0.82024,1.52719,0.06585,0.99535,1,0.995,0.88522,0.57934,0.59567,1.26985,0.02329,0.000808828,0.000808828,0.000808828
28,409.571,0.85695,0.80995,1.50991,0.07648,0.99542,1,0.995,0.90087,0.5587,0.59579,1.23706,0.03438,0.000775822,0.000775822,0.000775822
29,424.013,0.94647,0.87427,1.64141,0.05579,0.9954,1,0.995,0.88462,0.55228,0.57512,1.26336,0.03934,0.000742815,0.000742815,0.000742815
30,437.664,0.85176,0.79713,1.47095,0.06395,0.9954,1,0.995,0.88462,0.55228,0.57512,1.26336,0.03934,0.000709809,0.000709809,0.000709809
31,451.854,0.92432,0.877,1.706,0.07494,0.99515,1,0.995,0.9036,0.53545,0.55953,1.26768,0.0436,0.000676802,0.000676802,0.000676802
32,466.105,0.79513,0.73111,1.48388,0.06687,0.99397,1,0.995,0.90977,0.50362,0.56243,1.24704,0.04706,0.000643795,0.000643795,0.000643795
33,480.023,0.79818,0.7386,1.39117,0.08267,0.99395,1,0.995,0.9097,0.51309,0.55268,1.23239,0.04177,0.000610789,0.000610789,0.000610789
34,493.927,0.68727,0.68601,1.36476,0.0556,0.99456,1,0.995,0.90234,0.52412,0.55385,1.22668,0.02308,0.000577782,0.000577782,0.000577782
35,508.431,1.01105,0.84173,1.67687,0.06468,0.99506,1,0.995,0.89328,0.53978,0.55565,1.23362,0.02748,0.000544776,0.000544776,0.000544776
36,522.215,0.75893,0.73418,1.39328,0.05064,0.99528,1,0.995,0.90116,0.51989,0.53624,1.22766,0.03114,0.000511769,0.000511769,0.000511769
37,536.016,0.80668,0.73805,1.44001,0.07063,0.99534,1,0.995,0.91055,0.48875,0.53833,1.21692,0.03851,0.000478762,0.000478762,0.000478762
38,549.442,0.74497,0.84943,1.34911,0.05034,0.99534,1,0.995,0.91055,0.48875,0.53833,1.21692,0.03851,0.000445756,0.000445756,0.000445756
39,563.508,0.84126,0.75821,1.46237,0.09561,0.99538,1,0.995,0.917,0.4765,0.54166,1.21812,0.0371,0.000412749,0.000412749,0.000412749
40,576.876,0.82024,0.70286,1.39658,0.07158,0.99532,1,0.995,0.90387,0.48341,0.53964,1.2151,0.03328,0.000379743,0.000379743,0.000379743
41,590.708,0.496,0.62932,1.25452,0.04223,0.99499,1,0.995,0.90572,0.47303,0.53165,1.19334,0.02415,0.000346736,0.000346736,0.000346736
42,604.555,0.5023,0.64202,1.20932,0.03924,0.99443,1,0.995,0.90468,0.4661,0.53185,1.17294,0.02147,0.000313729,0.000313729,0.000313729
43,618.015,0.49231,0.60813,1.3429,0.05217,0.99469,1,0.995,0.90468,0.46707,0.52567,1.1656,0.02434,0.000280723,0.000280723,0.000280723
44,633.411,0.48054,0.58649,1.21563,0.0402,0.99509,1,0.995,0.91285,0.46898,0.52509,1.16618,0.02284,0.000247716,0.000247716,0.000247716
45,649.145,0.47316,0.63379,1.24866,0.04024,0.99558,1,0.995,0.90879,0.47089,0.52244,1.16644,0.02282,0.00021471,0.00021471,0.00021471
46,663.348,0.46937,0.58529,1.25912,0.04517,0.99558,1,0.995,0.90879,0.47089,0.52244,1.16644,0.02282,0.000181703,0.000181703,0.000181703
47,677.783,0.52132,0.62879,1.22068,0.06896,0.99595,1,0.995,0.90745,0.47183,0.5157,1.1609,0.02167,0.000148696,0.000148696,0.000148696
48,691.184,0.50333,0.61107,1.22799,0.0544,0.99602,1,0.995,0.9061,0.46761,0.51129,1.15661,0.02179,0.00011569,0.00011569,0.00011569
49,704.486,0.43443,0.58049,1.21144,0.03777,0.99611,1,0.995,0.90879,0.4662,0.50763,1.15464,0.02231,8.26832e-05,8.26832e-05,8.26832e-05
